reviewer;paper
Rafael García;Multilayered Mapping and Navigation for Autonomous Micro Aerial Vehicles.
Chris Murphy;Multilayered Mapping and Navigation for Autonomous Micro Aerial Vehicles.
Rahul Potdar;Tracking features with camera maneuvering for vision-based navigation.
Friedrich Fraundorfer;Tracking features with camera maneuvering for vision-based navigation.
Toshihiro Maki;Tracking features with camera maneuvering for vision-based navigation.
Mikhail J. Shashkov;Slope traversal controls for planetary exploration rover on sandy terrain.
Chinmay Chakraborty;Slope traversal controls for planetary exploration rover on sandy terrain.
Faouzi Ghorbel;Slope traversal controls for planetary exploration rover on sandy terrain.
Daniel T. Roper;Fast approximate clearance evaluation for rovers with articulated suspension systems.
Bo Wang 0015;Fast approximate clearance evaluation for rovers with articulated suspension systems.
Maria Letizia Corradini;Fast approximate clearance evaluation for rovers with articulated suspension systems.
Rainer Matischek;Terrain prediction for an eight-legged robot.
Nicolas Vandapel;Terrain prediction for an eight-legged robot.
Peter Schegner;Terrain prediction for an eight-legged robot.
Shervan Fekri Ershad;Transfer learning between crop types for semantic segmentation of crops versus weeds in precision agriculture.
Nicola Gigante;Transfer learning between crop types for semantic segmentation of crops versus weeds in precision agriculture.
Frédéric Loulergue;Transfer learning between crop types for semantic segmentation of crops versus weeds in precision agriculture.
Margit Noll;On the decoupling of position and force controllers in constrained robotic tasks.
Ambroise Krebs;On the decoupling of position and force controllers in constrained robotic tasks.
Jonathan Evans;On the decoupling of position and force controllers in constrained robotic tasks.
Ornela Dardha;Attention mechanism-based multisensor data fusion neural network for fault diagnosis of autonomous underwater vehicles.
Roy S. Kalawsky;Attention mechanism-based multisensor data fusion neural network for fault diagnosis of autonomous underwater vehicles.
Matthias Spisser;Attention mechanism-based multisensor data fusion neural network for fault diagnosis of autonomous underwater vehicles.
Markus Holzer 0001;A hardware proof of concept for a remote-controlled glacier-surveying boat.
Eric Krotkov;A hardware proof of concept for a remote-controlled glacier-surveying boat.
Yong Shi 0001;A hardware proof of concept for a remote-controlled glacier-surveying boat.
Jun Zhou 0015;Path-following algorithms and experiments for an unmanned surface vehicle.
Markus Henke;Path-following algorithms and experiments for an unmanned surface vehicle.
Mark F. Hansen;Path-following algorithms and experiments for an unmanned surface vehicle.
Jian S. Dai 0001;Long-baseline acoustic navigation for under-ice autonomous underwater vehicle operations.
Volkan Isler;Long-baseline acoustic navigation for under-ice autonomous underwater vehicle operations.
Mark Stefan;Long-baseline acoustic navigation for under-ice autonomous underwater vehicle operations.
Awf Abdulrahman;Vega - A small, low cost, ground robot for nuclear decommissioning.
Khaled Ghédira;Vega - A small, low cost, ground robot for nuclear decommissioning.
Swen Jacobs;Vega - A small, low cost, ground robot for nuclear decommissioning.
Markus Vincze;Robotic technologies for solar-powered UAVs: Fully autonomous updraft-aware aerial sensing for multiday search-and-rescue missions.
Robert Templeton;Robotic technologies for solar-powered UAVs: Fully autonomous updraft-aware aerial sensing for multiday search-and-rescue missions.
Chen Peng;Robotic technologies for solar-powered UAVs: Fully autonomous updraft-aware aerial sensing for multiday search-and-rescue missions.
Frantisek Hunka;A prototype autonomous robot for underwater crime scene investigation and emergency response.
Sebastian Krings;A prototype autonomous robot for underwater crime scene investigation and emergency response.
Ariane Oliveira Ferreira;A prototype autonomous robot for underwater crime scene investigation and emergency response.
José C. Riquelme;Dual-tracked mobile robot for motion in challenging terrains.
Kostas Alexis;Dual-tracked mobile robot for motion in challenging terrains.
Thomas Mantel;Dual-tracked mobile robot for motion in challenging terrains.
Clemens Freidhager;Adaptive Motion Planning for Autonomous Rough Terrain Traversal with a Walking Robot.
Erich Leitgeb;Adaptive Motion Planning for Autonomous Rough Terrain Traversal with a Walking Robot.
Russ Tedrake;Adaptive Motion Planning for Autonomous Rough Terrain Traversal with a Walking Robot.
Christopher N. Roman;A comparative study of fruit detection and counting methods for yield mapping in apple orchards.
Lucia Beccai;A comparative study of fruit detection and counting methods for yield mapping in apple orchards.
Yonghao Wang;A comparative study of fruit detection and counting methods for yield mapping in apple orchards.
Jehong Lee;A Multirobot System for Distributed Area Coverage and Signal Searching in Large Outdoor Scenarios.
Ali Khenchaf;A Multirobot System for Distributed Area Coverage and Signal Searching in Large Outdoor Scenarios.
Andreas Steininger;A Multirobot System for Distributed Area Coverage and Signal Searching in Large Outdoor Scenarios.
Ulrich Muehlmann;Team VALOR's ESCHER: A Novel Electromechanical Biped for the DARPA Robotics Challenge.
Andrea Caiti;Team VALOR's ESCHER: A Novel Electromechanical Biped for the DARPA Robotics Challenge.
Francisco Lera;Team VALOR's ESCHER: A Novel Electromechanical Biped for the DARPA Robotics Challenge.
Giuseppe Loianno;High-resolution millimeter-wave radar systems for visualization of unstructured outdoor environments.
Ma Luisa Iglesias;High-resolution millimeter-wave radar systems for visualization of unstructured outdoor environments.
Julian W. Gardner;High-resolution millimeter-wave radar systems for visualization of unstructured outdoor environments.
Michaela Leonhardt;Robotic tools for deep water archaeology: Surveying an ancient shipwreck with an autonomous underwater vehicle.
Wenqiang Dong;Robotic tools for deep water archaeology: Surveying an ancient shipwreck with an autonomous underwater vehicle.
Wolfgang Pribyl;Robotic tools for deep water archaeology: Surveying an ancient shipwreck with an autonomous underwater vehicle.
Massimo Bartoletti;The design and control of a robot finger for tactile sensing.
Junyi Cao;The design and control of a robot finger for tactile sensing.
Emmanuel Tang;The design and control of a robot finger for tactile sensing.
Stephan Mennicke;Robust active disturbance rejection control for systems with internal uncertainties: Multirotor UAV application.
Michael Perschbacher;Robust active disturbance rejection control for systems with internal uncertainties: Multirotor UAV application.
Manuel Kubicka;Robust active disturbance rejection control for systems with internal uncertainties: Multirotor UAV application.
Thierry Peynot;Inertial preintegration for VI-SLAM by the screw motion theory.
James Hefford;Inertial preintegration for VI-SLAM by the screw motion theory.
Dominik Grundt;Inertial preintegration for VI-SLAM by the screw motion theory.
James Hefford;Toward a gliding hybrid aerial underwater vehicle: Design, fabrication, and experiments.
Federico Coffele;Toward a gliding hybrid aerial underwater vehicle: Design, fabrication, and experiments.
Christoph Link;Toward a gliding hybrid aerial underwater vehicle: Design, fabrication, and experiments.
Alessandro Farinelli;Graph-based subterranean exploration path planning using aerial and legged robots.
Hong Linh Truong 0001;Graph-based subterranean exploration path planning using aerial and legged robots.
Onur Misir;Graph-based subterranean exploration path planning using aerial and legged robots.
Simone Felicioni;An autonomous robot for shell and tube heat exchanger inspection.
Ben Paechter;An autonomous robot for shell and tube heat exchanger inspection.
Domenico Sicignano;An autonomous robot for shell and tube heat exchanger inspection.
Xianchao Long;NimbRo Rescue: Solving Disaster-response Tasks with the Mobile Manipulation Robot Momaro.
Ji Zhang 0003;NimbRo Rescue: Solving Disaster-response Tasks with the Mobile Manipulation Robot Momaro.
Hao Fu 0001;NimbRo Rescue: Solving Disaster-response Tasks with the Mobile Manipulation Robot Momaro.
Jesse van den Kieboom;A review for control theory and condition monitoring on construction robots.
Mohammad Reza Mousavi 0001;A review for control theory and condition monitoring on construction robots.
Daniel Neider;A review for control theory and condition monitoring on construction robots.
Jane Hillston;Falco: Fast likelihood-based collision avoidance with extension to human-guided navigation.
Lionel Lapierre;Falco: Fast likelihood-based collision avoidance with extension to human-guided navigation.
Fabio Zanasi;Falco: Fast likelihood-based collision avoidance with extension to human-guided navigation.
Luis Mejías;Translational Parallel Manipulators: New Proposals.
Emilio Frazzoli;Translational Parallel Manipulators: New Proposals.
Sarka Hubackova;Translational Parallel Manipulators: New Proposals.
Graciele Batistell;Visual teach and repeat for long-range rover autonomy.
Víctor Juan Expósito Jiménez;Visual teach and repeat for long-range rover autonomy.
Taskin Padir;Visual teach and repeat for long-range rover autonomy.
Karl D. Iagnemma;Development of dam inspection robot with negative pressure effect plate.
Seiga Kiribayashi;Development of dam inspection robot with negative pressure effect plate.
Miguel-Ángel Sicilia;Development of dam inspection robot with negative pressure effect plate.
Rafik Djemili;Water entry locomotion strategy for a stranding bionic robotic fish.
Lionel Heng;Water entry locomotion strategy for a stranding bionic robotic fish.
Hao Fu 0001;Water entry locomotion strategy for a stranding bionic robotic fish.
Jean-Simon Pacaud Lemay;Information-driven robotic sampling in the coastal ocean.
Fabio T. Ramos 0001;Information-driven robotic sampling in the coastal ocean.
Paul E. Rybski;Information-driven robotic sampling in the coastal ocean.
J. Emilio Rodriguez-Seco;Study on climbing strategy and analysis of Mars rover.
Mariëlle Stoelinga;Study on climbing strategy and analysis of Mars rover.
Alessandro Farinelli;Study on climbing strategy and analysis of Mars rover.
Pietro Hiram Guzzi;Geometry-based flipper motion planning for articulated tracked robots traversing rough terrain in real-time.
Nikos Manouselis;Geometry-based flipper motion planning for articulated tracked robots traversing rough terrain in real-time.
Hans Hüttel;Geometry-based flipper motion planning for articulated tracked robots traversing rough terrain in real-time.
Óscar Reinoso;Force Transmissibility Performance of Parallel Manipulators.
Oswaldo Aguirre;Force Transmissibility Performance of Parallel Manipulators.
Andreas Gruber;Force Transmissibility Performance of Parallel Manipulators.
J. Emilio Rodriguez-Seco;Adaptive teams of autonomous aerial and ground robots for situational awareness.
Maxim Likhachev;Adaptive teams of autonomous aerial and ground robots for situational awareness.
David Moore 0003;Adaptive teams of autonomous aerial and ground robots for situational awareness.
Bartlomiej Mizinski;Time-scaling control of an underactuated manipulator.
Adam Jacobson;Time-scaling control of an underactuated manipulator.
Gerhard Jambrich;Time-scaling control of an underactuated manipulator.
Brian Claus;ASAH: An arc-surface-adsorption hexapod robot with a motion control scheme.
James Hefford;ASAH: An arc-surface-adsorption hexapod robot with a motion control scheme.
Wiebe van der Hoek;ASAH: An arc-surface-adsorption hexapod robot with a motion control scheme.
Fernando Alfredo Auat Cheeín;Optimal initialization of manipulation dynamics by vorticity model of robot hand preshaping. Part I: Vorticity model.
Giancarlo Troni;Optimal initialization of manipulation dynamics by vorticity model of robot hand preshaping. Part I: Vorticity model.
Sugondo Hadiyoso;Optimal initialization of manipulation dynamics by vorticity model of robot hand preshaping. Part I: Vorticity model.
Jesse van den Kieboom;Gait optimization of step climbing for a hexapod robot.
Angeliki Topalidou-Kyniazopoulou;Gait optimization of step climbing for a hexapod robot.
Margrit Gelautz;Gait optimization of step climbing for a hexapod robot.
Andreas Springer;VERO: A vacuum-cleaner-equipped quadruped robot for efficient litter removal.
David Schreiber;VERO: A vacuum-cleaner-equipped quadruped robot for efficient litter removal.
Mikhail J. Shashkov;VERO: A vacuum-cleaner-equipped quadruped robot for efficient litter removal.
Fabien Tâche;The ARTEMIS under-ice AUV docking system.
Markus Stadelmayer;The ARTEMIS under-ice AUV docking system.
Uwe Naumann;The ARTEMIS under-ice AUV docking system.
Ruchao Wang;Forces, activation and displacement prediction during free movement in the hand and forearm.
Parminder Kaur;Forces, activation and displacement prediction during free movement in the hand and forearm.
Georgios Theodoropoulos 0001;Forces, activation and displacement prediction during free movement in the hand and forearm.
Eric Rogers;TKO-SLAM: Visual SLAM algorithm based on time-delay feature regression and keyframe pose optimization.
Kevin Knoedler;TKO-SLAM: Visual SLAM algorithm based on time-delay feature regression and keyframe pose optimization.
Angela P. Schoellig;TKO-SLAM: Visual SLAM algorithm based on time-delay feature regression and keyframe pose optimization.
Zohair Al-Ameen;Admittance Control for Robotic Loading: Design and Experiments with a 1-Tonne Loader and a 14-Tonne Load-Haul-Dump Machine.
Mitch Bryson;Admittance Control for Robotic Loading: Design and Experiments with a 1-Tonne Loader and a 14-Tonne Load-Haul-Dump Machine.
Lydia E. Kavraki;Admittance Control for Robotic Loading: Design and Experiments with a 1-Tonne Loader and a 14-Tonne Load-Haul-Dump Machine.
Andrew Howard;Simulation and computer-aided kinematic design of three-degree-of-freedom spherical parallel manipulators.
Ákos Hajdu;Simulation and computer-aided kinematic design of three-degree-of-freedom spherical parallel manipulators.
Sven Behnke;Simulation and computer-aided kinematic design of three-degree-of-freedom spherical parallel manipulators.
Massimo Caccia;Design, integration, and field evaluation of a robotic apple harvester.
Julian W. Gardner;Design, integration, and field evaluation of a robotic apple harvester.
Barry Lennox;Design, integration, and field evaluation of a robotic apple harvester.
Manel Taboada;Modeling and optimization using artificial neural network and genetic algorithm of self-propelled machine reach envelope.
Gerhard Huth;Modeling and optimization using artificial neural network and genetic algorithm of self-propelled machine reach envelope.
Jérome Soumagne;Modeling and optimization using artificial neural network and genetic algorithm of self-propelled machine reach envelope.
Wilfried N. Gansterer;Stereo-based all-terrain obstacle detection using visual saliency.
Adina-Elena Glava;Stereo-based all-terrain obstacle detection using visual saliency.
Tomàs Margalef;Stereo-based all-terrain obstacle detection using visual saliency.
Jason Ziglar;The effect of data augmentation and network simplification on the image-based detection of broccoli heads with Mask R-CNN.
David G. Schmale III;The effect of data augmentation and network simplification on the image-based detection of broccoli heads with Mask R-CNN.
Paul Checchin;The effect of data augmentation and network simplification on the image-based detection of broccoli heads with Mask R-CNN.
Sean Brennan 0001;Corn plant sensing using real-time stereo vision.
Detlef Schulz;Corn plant sensing using real-time stereo vision.
Andreas Johann Hörmer;Corn plant sensing using real-time stereo vision.
Christian Steger;Simple yet stable bearing-only navigation.
Liang Ding 0001;Simple yet stable bearing-only navigation.
Chien Chern Cheah;Simple yet stable bearing-only navigation.
Somayeh Saraf Esmaili;Introducing a globally consistent orbital-based localization system.
Thomas Klatzer;Introducing a globally consistent orbital-based localization system.
Chong Liu;Introducing a globally consistent orbital-based localization system.
Jacques D. Fleuriot;A Multi-Autonomous Underwater Vehicle System for Autonomous Tracking of Marine Life.
Hrand Aghazarian;A Multi-Autonomous Underwater Vehicle System for Autonomous Tracking of Marine Life.
Alessandro Filisetti;A Multi-Autonomous Underwater Vehicle System for Autonomous Tracking of Marine Life.
Zoe Doulgeri;Constrained robot dynamics II: Parallel machines.
Maria Letizia Corradini;Constrained robot dynamics II: Parallel machines.
Stefan B. Williams;Constrained robot dynamics II: Parallel machines.
Hyoseop Lee;An evolutionary and local search algorithm for motion planning of two manipulators.
Steve A. Chien;An evolutionary and local search algorithm for motion planning of two manipulators.
Ziad A. Alqadi;An evolutionary and local search algorithm for motion planning of two manipulators.
Nikos Manouselis;High-speed mobility on planetary surfaces: A technical review.
Margarita Chli;High-speed mobility on planetary surfaces: A technical review.
Andreas Steininger;High-speed mobility on planetary surfaces: A technical review.
Ali-akbar Agha-mohammadi;Achieving a cooperative behavior in a dual-arm robot system via a modular control structure.
Theo Tryfonas;Achieving a cooperative behavior in a dual-arm robot system via a modular control structure.
Jochen Hemming;Achieving a cooperative behavior in a dual-arm robot system via a modular control structure.
Henning Müller;A Multisensor Integration Approach toward Astronaut Navigation for Landed Lunar Missions.
Leander Tentrup;A Multisensor Integration Approach toward Astronaut Navigation for Landed Lunar Missions.
Christopher Beck;A Multisensor Integration Approach toward Astronaut Navigation for Landed Lunar Missions.
Gerhard Diendorfer;Development of disaster-responding special-purpose machinery: Results of experiments.
Jesús Capitán;Development of disaster-responding special-purpose machinery: Results of experiments.
Tomás Báca;Development of disaster-responding special-purpose machinery: Results of experiments.
Fabien Tâche;Planar Segment Based Three-dimensional Point Cloud Registration in Outdoor Environments.
Marcus Gerhard Müller;Planar Segment Based Three-dimensional Point Cloud Registration in Outdoor Environments.
Tomàs Margalef;Planar Segment Based Three-dimensional Point Cloud Registration in Outdoor Environments.
Ji Zhang 0003;Use of a Small Unmanned Aerial System for the SR-530 Mudslide Incident near Oso, Washington.
Oswaldo Aguirre;Use of a Small Unmanned Aerial System for the SR-530 Mudslide Incident near Oso, Washington.
Alberto Dionigi;Use of a Small Unmanned Aerial System for the SR-530 Mudslide Incident near Oso, Washington.
Varinder P. Singh;Insights from autonomy trials of a self-reconfigurable floor-cleaning robot in a public food court.
Rumyana Neykova;Insights from autonomy trials of a self-reconfigurable floor-cleaning robot in a public food court.
Takashi Sasaki;Insights from autonomy trials of a self-reconfigurable floor-cleaning robot in a public food court.
Han Woong Yoo;LTA-OM: Long-term association LiDAR-IMU odometry and mapping.
Bernhard Auinger;LTA-OM: Long-term association LiDAR-IMU odometry and mapping.
Xuwei Zhang;LTA-OM: Long-term association LiDAR-IMU odometry and mapping.
Jyh-Jone Lee;Optimal terminal-velocity-control guidance for intercepting non-cooperative maneuvering quadcopter.
Christoph Feichtinger;Optimal terminal-velocity-control guidance for intercepting non-cooperative maneuvering quadcopter.
Jürgen Resch;Optimal terminal-velocity-control guidance for intercepting non-cooperative maneuvering quadcopter.
Alejandro Salado;Variable structure control of a distributed-parameter flexible beam.
Maxim Likhachev;Variable structure control of a distributed-parameter flexible beam.
Jürgen Jasperneite;Variable structure control of a distributed-parameter flexible beam.
Valeria V. Krzhizhanovskaya;Autonomous Vision-based Micro Air Vehicle for Indoor and Outdoor Navigation.
Ahmad Akbari;Autonomous Vision-based Micro Air Vehicle for Indoor and Outdoor Navigation.
Stefano Marco Maria De Rossi;Autonomous Vision-based Micro Air Vehicle for Indoor and Outdoor Navigation.
Evan Patterson;Concurrent optimal design of modular robotic configuration.
Frits K. van Evert;Concurrent optimal design of modular robotic configuration.
Christian Schwarzl;Concurrent optimal design of modular robotic configuration.
Luis Mejías;RESCUER: Development of a Modular Chemical, Biological, Radiological, and Nuclear Robot for Intervention, Sampling, and Situation Awareness.
Danial Pour Arab;RESCUER: Development of a Modular Chemical, Biological, Radiological, and Nuclear Robot for Intervention, Sampling, and Situation Awareness.
Johann Schütz;RESCUER: Development of a Modular Chemical, Biological, Radiological, and Nuclear Robot for Intervention, Sampling, and Situation Awareness.
Bradley Paden;Detection of bodies in maritime rescue operations using unmanned aerial vehicles with multispectral cameras.
Simon Lynen;Detection of bodies in maritime rescue operations using unmanned aerial vehicles with multispectral cameras.
Shehryar Khattak;Detection of bodies in maritime rescue operations using unmanned aerial vehicles with multispectral cameras.
Simon Lacroix;Hough based terrain classification for realtime detection of drivable ground.
Philippe Forster;Hough based terrain classification for realtime detection of drivable ground.
Brittany A. Duncan;Hough based terrain classification for realtime detection of drivable ground.
Jan Quenzel;Three-dimensional kinematics-based real-time localization method using two robots.
Zheng Zeng 0003;Three-dimensional kinematics-based real-time localization method using two robots.
Federico Coffele;Three-dimensional kinematics-based real-time localization method using two robots.
Ye Li;NDT-6D for color registration in agri-robotic applications.
Étienne Lozes;NDT-6D for color registration in agri-robotic applications.
Peter M. A. Sloot;NDT-6D for color registration in agri-robotic applications.
Andreas Birk 0002;360-degree visual detection and target tracking on an autonomous surface vehicle.
Ohad Ben-Shahar;360-degree visual detection and target tracking on an autonomous surface vehicle.
Haoqi Zhao;360-degree visual detection and target tracking on an autonomous surface vehicle.
Mohammed Beladgham;The ReSWARM microgravity flight experiments: Planning, control, and model estimation for on-orbit close proximity operations.
Edison Pignaton de Freitas;The ReSWARM microgravity flight experiments: Planning, control, and model estimation for on-orbit close proximity operations.
David A. Sanders;The ReSWARM microgravity flight experiments: Planning, control, and model estimation for on-orbit close proximity operations.
Parminder Kaur;Fast, autonomous flight in GPS-denied and cluttered environments.
Tadao Takaoka;Fast, autonomous flight in GPS-denied and cluttered environments.
Robert Templeton;Fast, autonomous flight in GPS-denied and cluttered environments.
Jitendra Kumar 0001;Navigating high-speed unmanned surface vehicles: System approach and validations.
Alistair J. Scarfe;Navigating high-speed unmanned surface vehicles: System approach and validations.
Yongsheng Luo;Navigating high-speed unmanned surface vehicles: System approach and validations.
Marcelo H. Ang Jr.;Nondestructive evaluation sensor fusion with autonomous robotic system for civil infrastructure inspection.
Christopher G. Atkeson;Nondestructive evaluation sensor fusion with autonomous robotic system for civil infrastructure inspection.
Jim Overholt;Nondestructive evaluation sensor fusion with autonomous robotic system for civil infrastructure inspection.
Hong Linh Truong 0001;Remote mobile manipulation with the centauro robot: Full-body telepresence and autonomous operator assistance.
Paul Lukowicz;Remote mobile manipulation with the centauro robot: Full-body telepresence and autonomous operator assistance.
Richard W. Vuduc;Remote mobile manipulation with the centauro robot: Full-body telepresence and autonomous operator assistance.
Thorsten Burandt;Drive train configuration arrangement for gear coupled manipulators.
Hamidah Ibrahim;Drive train configuration arrangement for gear coupled manipulators.
Manoj Karkee;Drive train configuration arrangement for gear coupled manipulators.
Teodor Tomic;Visual map-less navigation based on homographies.
Chenxin Lyu;Visual map-less navigation based on homographies.
Kristoffer Gryte;Visual map-less navigation based on homographies.
Stefano Roccella;Special issue on field and service robotics 2019.
Venkata Krishna Kishore Kolli;Special issue on field and service robotics 2019.
Adel Ben Mnaouer;Special issue on field and service robotics 2019.
Melissa D. Jordan;Autonomous collision detection and avoidance for ARAGON USV: Development and field tests.
Philipp Lottes;Autonomous collision detection and avoidance for ARAGON USV: Development and field tests.
Michal Munk;Autonomous collision detection and avoidance for ARAGON USV: Development and field tests.
José Barata;Application of N-step-ahead NeuroControl on articulated manipulators.
Supreeth Achar;Application of N-step-ahead NeuroControl on articulated manipulators.
Thambipillai Srikanthan;Application of N-step-ahead NeuroControl on articulated manipulators.
Giorgio Metta;Self-triggered adaptive neural control for USVs with sensor measurement sensitivity under deception attacks.
Thomas Prampart;Self-triggered adaptive neural control for USVs with sensor measurement sensitivity under deception attacks.
Philip Moss;Self-triggered adaptive neural control for USVs with sensor measurement sensitivity under deception attacks.
Florian Pauli;Behavioral knowledge in sensor/data fusion systems.
Yonghoon Cho;Behavioral knowledge in sensor/data fusion systems.
Tom C. L. Bridge;Behavioral knowledge in sensor/data fusion systems.
Marketa Ruzickova;Human-robot Teaming for Rescue Missions: Team ViGIR's Approach to the 2013 DARPA Robotics Challenge Trials.
Wolfgang Schreiner;Human-robot Teaming for Rescue Missions: Team ViGIR's Approach to the 2013 DARPA Robotics Challenge Trials.
Harald Neudorfer;Human-robot Teaming for Rescue Missions: Team ViGIR's Approach to the 2013 DARPA Robotics Challenge Trials.
Kenneth A. Hawick;Cover Image, Volume 41, Number 4, June 2024.
Ji Zhang 0003;Cover Image, Volume 41, Number 4, June 2024.
Giorgio Metta;Cover Image, Volume 41, Number 4, June 2024.
Andreas Steininger;MARTE: Technology development and lessons learned from a Mars drilling mission simulation.
Alois Zoitl;MARTE: Technology development and lessons learned from a Mars drilling mission simulation.
Sarka Hubackova;MARTE: Technology development and lessons learned from a Mars drilling mission simulation.
Yi Guo;Pose-graph underwater simultaneous localization and mapping for autonomous monitoring and 3D reconstruction by means of optical and acoustic sensors.
Maximilian Papa;Pose-graph underwater simultaneous localization and mapping for autonomous monitoring and 3D reconstruction by means of optical and acoustic sensors.
Tomas Sochor;Pose-graph underwater simultaneous localization and mapping for autonomous monitoring and 3D reconstruction by means of optical and acoustic sensors.
Martin Zimmermann 0002;Multisensor online 3D view planning for autonomous underwater exploration.
Congcong Chen;Multisensor online 3D view planning for autonomous underwater exploration.
Yohan Dupuis;Multisensor online 3D view planning for autonomous underwater exploration.
Grzegorz Cielniak;Aerial online mapping on-board system by real-time object detection for UGV path generation in unstructured outdoor environments.
John J. Heine;Aerial online mapping on-board system by real-time object detection for UGV path generation in unstructured outdoor environments.
Jesse van den Kieboom;Aerial online mapping on-board system by real-time object detection for UGV path generation in unstructured outdoor environments.
Sebastian Schöndorfer;Development, integration, and field evaluation of an autonomous citrus-harvesting robot.
Diego N. Brandão;Development, integration, and field evaluation of an autonomous citrus-harvesting robot.
Massimo Bartoletti;Development, integration, and field evaluation of an autonomous citrus-harvesting robot.
Philipp Oettershagen;Control of a six-axis pneumatic robot.
Kirk MacTavish;Control of a six-axis pneumatic robot.
Thilo Sauter;Control of a six-axis pneumatic robot.
Rosario Pugliese;Harvesting Robots for High-value Crops: State-of-the-art Review and Challenges Ahead.
Salah Sukkarieh;Harvesting Robots for High-value Crops: State-of-the-art Review and Challenges Ahead.
Mark W. Maimone;Harvesting Robots for High-value Crops: State-of-the-art Review and Challenges Ahead.
Thomas Bretterklieber;Robotic pipeline wall thickness evaluation for dense nondestructive testing inspection.
Ruchao Wang;Robotic pipeline wall thickness evaluation for dense nondestructive testing inspection.
Alistair J. Scarfe;Robotic pipeline wall thickness evaluation for dense nondestructive testing inspection.
Salim Ouchtati;TrackerBots: Autonomous unmanned aerial vehicle for real-time localization and tracking of multiple radio-tagged animals.
Philipp Krüsi;TrackerBots: Autonomous unmanned aerial vehicle for real-time localization and tracking of multiple radio-tagged animals.
Saïd Moussaoui;TrackerBots: Autonomous unmanned aerial vehicle for real-time localization and tracking of multiple radio-tagged animals.
Michael Schreiber;A real-time quadrotor trajectory planning framework based on B-spline and nonuniform kinodynamic search.
Albert Palomer;A real-time quadrotor trajectory planning framework based on B-spline and nonuniform kinodynamic search.
Wiebe van der Hoek;A real-time quadrotor trajectory planning framework based on B-spline and nonuniform kinodynamic search.
Mourad Moussa;Vision-aided Guidance and Navigation for Close Formation Flight.
Mahfuzah Mustafa;Vision-aided Guidance and Navigation for Close Formation Flight.
Mark W. Maimone;Vision-aided Guidance and Navigation for Close Formation Flight.
Felix Klein 0001;Modeling Dormant Fruit Trees for Agricultural Automation.
Mihai Bîzoi;Modeling Dormant Fruit Trees for Agricultural Automation.
Stefano Marco Maria De Rossi;Modeling Dormant Fruit Trees for Agricultural Automation.
Morteza Zahedi;Data set diversity in crop row detection based on CNN models for autonomous robot navigation.
Hirohiko Arai;Data set diversity in crop row detection based on CNN models for autonomous robot navigation.
Ilaria Castellani;Data set diversity in crop row detection based on CNN models for autonomous robot navigation.
Pascal Vasseur;Sparus Docking Station: A current aware docking station system for a non-holonomic AUV.
Jozef Kapusta;Sparus Docking Station: A current aware docking station system for a non-holonomic AUV.
Salvador Sánchez-Alonso;Sparus Docking Station: A current aware docking station system for a non-holonomic AUV.
Hyoseop Lee;3D hybrid path planning for optimized coverage of agricultural fields: A novel approach for wheeled robots.
Luis Mejías;3D hybrid path planning for optimized coverage of agricultural fields: A novel approach for wheeled robots.
Kay Hameyer;3D hybrid path planning for optimized coverage of agricultural fields: A novel approach for wheeled robots.
Dominik Henrich;Developing a Robust Disaster Response Robot: CHIMP and the Robotics Challenge.
Brian Argrow;Developing a Robust Disaster Response Robot: CHIMP and the Robotics Challenge.
Michel Berducat;Developing a Robust Disaster Response Robot: CHIMP and the Robotics Challenge.
Paul Backes;Passive and active acoustics using an autonomous wave glider.
Oszkar Bíró;Passive and active acoustics using an autonomous wave glider.
Christoph Mayr-Dorn;Passive and active acoustics using an autonomous wave glider.
Giancarlo Troni;Instance invariant visual servoing framework for part-aware autonomous vehicle inspection using MAVs.
Johannes Schnöller;Instance invariant visual servoing framework for part-aware autonomous vehicle inspection using MAVs.
Bas Westerbaan;Instance invariant visual servoing framework for part-aware autonomous vehicle inspection using MAVs.
Danial Pour Arab;Robot arm-wrist coordination. Part 2. Design guidelines.
Graciele Batistell;Robot arm-wrist coordination. Part 2. Design guidelines.
Zoe Doulgeri;Robot arm-wrist coordination. Part 2. Design guidelines.
Tim A. C. Willemse;A case study of two-robot-arm workcell material handling.
Jovanka Pantovic;A case study of two-robot-arm workcell material handling.
Gajendra Singh;A case study of two-robot-arm workcell material handling.
Tobias Stark;Design and Analysis of Remote Center of Compliance Structures.
Marie-Odile Monod;Design and Analysis of Remote Center of Compliance Structures.
Italo Epicoco;Design and Analysis of Remote Center of Compliance Structures.
José Maria Azorín;Low-cost solution in international robotic challenge: Lessons learned by Tuscany Robotics Team at ERL Emergency Robots 2017.
Dilek Karahoca;Low-cost solution in international robotic challenge: Lessons learned by Tuscany Robotics Team at ERL Emergency Robots 2017.
Svetlana Jaksic;Low-cost solution in international robotic challenge: Lessons learned by Tuscany Robotics Team at ERL Emergency Robots 2017.
Pao-Yu Oei;Developing and deploying a tethered robot to map extremely steep terrain.
Haibo Qu;Developing and deploying a tethered robot to map extremely steep terrain.
Elena García-Barriocanal;Developing and deploying a tethered robot to map extremely steep terrain.
Peter Kopacek;Design and implementation of shape-adaptive and multifunctional robotic gripper.
Francisco Lera;Design and implementation of shape-adaptive and multifunctional robotic gripper.
Tarmo Uustalu;Design and implementation of shape-adaptive and multifunctional robotic gripper.
